brand_id,brand_name
1,Apple
2,Samsung
3,Nike
4,Adidas
5,Sony
6,Microsoft
7,Google
8,Coca-Cola
9,Pepsi
10,Toyota
11,Honda
12,Ford
13,BMW
14,Mercedes-Benz
15,Lego
16,Puma
17,Under Armour
18,Gucci
19,Louis Vuitton
20,Rolex
21,Canon
22,Nikon
23,GoPro
24,Dell
25,HP
26,Lenovo
27,LG
28,Panasonic
29,Philips
30,Nestle
31,Colgate
32,Gillette
33,Oreo
34,Hershey's
35,Crayola
36,PlayStation
37,Xbox
38,Nintendo
39,Wrangler
40,Vans
41,Converse
42,Ray-Ban
43,Oakley
44,AmazonBasics
45,KitchenAid
46,Dyson
47,Fitbit
48,Sonos
49,Bose
